"OCC_CODE","TITLE","OCC_GROUP","TOTAL_EMPLOYEES","SALARY","YEAR","OCC_CODE_SHORT"
"25_1053","Environmental Science Teachers, Postsecondary","",4470,75220,2007,"25"
"17_2141","Mechanical Engineers","",222330,75130,2007,"17"
"17_2081","Environmental Engineers","",51210,74820,2007,"17"
"11_9039","Education Administrators, All Other","",28640,74230,2007,"11"
"19_1042","Medical Scientists, Except Epidemiologists","",87440,74160,2007,"19"
"17_1011","Architects, Except Landscape And Naval","",106830,73650,2007,"17"
"33_1012","First-line Supervisors/managers Of Police And Detectives","",91510,73620,2007,"33"
"13_2061","Financial Examiners","",25510,73550,2007,"13"
"17_2112","Industrial Engineers","",204210,73490,2007,"17"
"25_1011","Business Teachers, Postsecondary","",67700,73240,2007,"25"
"25_1052","Chemistry Teachers, Postsecondary","",19800,72900,2007,"25"
"15_1099","Computer Specialists, All Other","",182690,72310,2007,"15"
"15_0000","Computer And Mathematical Occupations","major",3191360,72190,2007,"15"
"15_2041","Statisticians","",20270,72150,2007,"15"
"15_1131","Computer Programmers","",394710,72010,2007,"15"
"29_1124","Radiation Therapists","",14620,71990,2007,"29"
"25_1199","Postsecondary Teachers, All Other","",265500,71950,2007,"25"
"27_2021","Athletes And Sports Competitors","",12670,71920,2007,"27"
"15_2031","Operations Research Analysts","",58750,71640,2007,"15"
"29_1123","Physical Therapists","",161850,71520,2007,"29"
"25_1031","Architecture Teachers, Postsecondary","",6070,71480,2007,"25"
"53_2012","Commercial Pilots","",29180,71270,2007,"53"
"51_8011","Nuclear Power Reactor Operators","",4220,71220,2007,"51"
"27_1022","Fashion Designers","",16460,71170,2007,"27"
"17_2111","Health And Safety Engineers, Except Mining Safety Engineers And Inspectors","",24770,70970,2007,"17"
"15_1081","Network Systems And Data Communications Analysts","",216050,70760,2007,"15"
"17_2021","Agricultural Engineers","",2480,70460,2007,"17"
"27_3021","Broadcast News Analysts","",6550,70370,2007,"27"
"25_1065","Political Science Teachers, Postsecondary","",14160,70350,2007,"25"
"15_1141","Database Administrators","",116340,70260,2007,"15"
"19_2043","Hydrologists","",7670,70250,2007,"19"
"25_1069","Social Sciences Teachers, Postsecondary, All Other","",5460,70000,2007,"25"
"19_3099","Social Scientists And Related Workers, All Other","",30410,69720,2007,"19"
"25_1021","Computer Science Teachers, Postsecondary","",33840,69660,2007,"25"
"11_9071","Gaming Managers","",3740,69600,2007,"11"
"25_1061","Anthropology And Archeology Teachers, Postsecondary","",5290,69420,2007,"25"
"17_0000","Architecture And Engineering Occupations","major",2486020,68880,2007,"17"
"19_2031","Chemists","",79860,68520,2007,"19"
"19_3031","Clinical, Counseling, And School Psychologists","",95120,68150,2007,"19"
"15_1071","Network And Computer Systems Administrators","",309660,67850,2007,"15"
"25_1062","Area, Ethnic, And Cultural Studies Teachers, Postsecondary","",7280,67770,2007,"25"
"25_1043","Forestry And Conservation Science Teachers, Postsecondary","",2640,67530,2007,"25"
"33_1021","First-line Supervisors/managers Of Fire Fighting And Prevention Workers","",52160,67350,2007,"33"
"19_3041","Sociologists","",3680,67330,2007,"19"
"19_3021","Market Research Analysts","",220740,66980,2007,"19"
"19_1099","Life Scientists, All Other","",12470,66930,2007,"19"
"25_1066","Psychology Teachers, Postsecondary","",30590,66460,2007,"25"
"19_3092","Geographers","",1010,66440,2007,"19"
"19_1022","Microbiologists","",14610,66430,2007,"19"
"47_4021","Elevator Installers And Repairers","",22950,66330,2007,"47"
"13_2031","Budget Analysts","",62400,66310,2007,"13"
"13_1081","Logisticians","",90340,66240,2007,"13"
"19_1029","Biological Scientists, All Other","",27070,66240,2007,"19"
"19_4051","Nuclear Technicians","",5920,65850,2007,"19"
"25_1064","Geography Teachers, Postsecondary","",4050,65810,2007,"25"
"29_1122","Occupational Therapists","",91920,65540,2007,"29"
"25_1022","Mathematical Science Teachers, Postsecondary","",44560,65450,2007,"25"
"25_1125","History Teachers, Postsecondary","",20760,65410,2007,"25"
"29_2033","Nuclear Medicine Technologists","",20410,65380,2007,"29"
"25_1067","Sociology Teachers, Postsecondary","",16130,65230,2007,"25"
"29_0000","Healthcare Practitioners And Technical Occupations","major",6877680,65020,2007,"29"
