"OCC_CODE","TITLE","OCC_CODE_SHORT"
"15_1111","Computer And Information Research Scientists","15"
"11_3021","Computer And Information Systems Managers","11"
"17_2061","Computer Hardware Engineers","17"
"15_1143","Computer Network Architects","15"
"15_1152","Computer Network Support Specialists","15"
"15_1799","Computer Occupations, All Other","15"
"15_1199","Computer Occupations, All Other","15"
"43_9011","Computer Operators","43"
"15_1131","Computer Programmers","15"
"25_1021","Computer Science Teachers, Postsecondary","25"
"15_1031","Computer Software Engineers, Applications","15"
"15_1032","Computer Software Engineers, Systems Software","15"
"15_1099","Computer Specialists, All Other","15"
"15_1150","Computer Support Specialists","15"
"15_1121","Computer Systems Analysts","15"
"15_1151","Computer User Support Specialists","15"
"49_2011","Computer, Automated Teller, And Office Machine Repairers","49"
"39_6012","Concierges","39"
"19_1031","Conservation Scientists","19"
"47_4011","Construction And Building Inspectors","47"
"47_4799","Construction And Related Workers, All Other","47"
"47_2061","Construction Laborers","47"
"11_9021","Construction Managers","11"
"47_5041","Continuous Mining Machine Operators","47"
"49_9012","Control And Valve Installers And Repairers, Except Mechanical Door","49"
"53_7011","Conveyor Operators And Tenders","53"
"35_2019","Cooks, All Other","35"
"35_2011","Cooks, Fast Food","35"
"35_2012","Cooks, Institution And Cafeteria","35"
"35_2013","Cooks, Private Household","35"
"35_2014","Cooks, Restaurant","35"
"35_2015","Cooks, Short Order","35"
"51_9193","Cooling And Freezing Equipment Operators And Tenders","51"
"33_3012","Correctional Officers And Jailers","33"
"43_4021","Correspondence Clerks","43"
"13_1051","Cost Estimators","13"
"39_3092","Costume Attendants","39"
"21_1019","Counselors, All Other","21"
"41_2021","Counter And Rental Clerks","41"
"35_3022","Counter Attendants, Cafeteria, Food Concession, And Coffee Shop","35"
"43_5021","Couriers And Messengers","43"
"23_2091","Court Reporters","23"
"43_4031","Court, Municipal, And License Clerks","43"
"27_1012","Craft Artists","27"
"53_7021","Crane And Tower Operators","53"
"13_2041","Credit Analysts","13"
"43_4041","Credit Authorizers, Checkers, And Clerks","43"
"25_1111","Criminal Justice And Law Enforcement Teachers, Postsecondary","25"
"33_9091","Crossing Guards","33"
"51_9021","Crushing, Grinding, And Polishing Machine Setters, Operators, And Tenders","51"
"25_4012","Curators","25"
"43_4051","Customer Service Representatives","43"
"51_9031","Cutters And Trimmers, Hand","51"
"51_9032","Cutting And Slicing Machine Setters, Operators, And Tenders","51"
"51_4031","Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"27_2031","Dancers","27"
"43_9021","Data Entry Keyers","43"
"15_1141","Database Administrators","15"
"41_9011","Demonstrators And Product Promoters","41"
"31_9091","Dental Assistants","31"
"29_2021","Dental Hygienists","29"
"51_9081","Dental Laboratory Technicians","51"
"29_1029","Dentists, All Other Specialists","29"
"29_1021","Dentists, General","29"
"47_5011","Derrick Operators, Oil And Gas","47"
"27_1029","Designers, All Other","27"
"43_9031","Desktop Publishers","43"
"33_3021","Detectives And Criminal Investigators","33"
"29_2032","Diagnostic Medical Sonographers","29"
"29_2051","Dietetic Technicians","29"
"29_1031","Dietitians And Nutritionists","29"
"35_9011","Dining Room And Cafeteria Attendants And Bartender Helpers","35"
"21_2021","Directors, Religious Activities And Education","21"
"35_9021","Dishwashers","35"
"43_5032","Dispatchers, Except Police, Fire, And Ambulance","43"
"41_9091","Door-to-door Sales Workers, News And Street Vendors, And Related Workers","41"
"17_3019","Drafters, All Other","17"
"53_7031","Dredge Operators","53"
"51_4032","Drilling And Boring Machine Tool Setters, Operators, And Tenders, Metal And Plastic","51"
"53_3031","Driver/sales Workers","53"
"47_2081","Drywall And Ceiling Tile Installers","47"
"47_5021","Earth Drillers, Except Oil And Gas","47"
"25_1063","Economics Teachers, Postsecondary","25"
"19_3011","Economists","19"
"27_3041","Editors","27"
"11_9039","Education Administrators, All Other","11"
"11_9032","Education Administrators, Elementary And Secondary School","11"
"11_9033","Education Administrators, Postsecondary","11"
"11_9031","Education Administrators, Preschool And Child Care Center/program","11"
"25_1081","Education Teachers, Postsecondary","25"
"25_9099","Education, Training, And Library Workers, All Other","25"
"21_1012","Educational, Vocational, And School Counselors","21"
"49_2092","Electric Motor, Power Tool, And Related Repairers","49"
"17_3023","Electrical And Electronic Engineering Technicians","17"
"51_2022","Electrical And Electronic Equipment Assemblers","51"
"17_3012","Electrical And Electronics Drafters","17"
"49_2093","Electrical And Electronics Installers And Repairers, Transportation Equipment","49"
"49_2094","Electrical And Electronics Repairers, Commercial And Industrial Equipment","49"
"49_2095","Electrical And Electronics Repairers, Powerhouse, Substation, And Relay","49"
"17_2071","Electrical Engineers","17"
"49_9051","Electrical Power-line Installers And Repairers","49"
"47_2111","Electricians","47"
"17_3024","Electro-mechanical Technicians","17"
"51_2023","Electromechanical Equipment Assemblers","51"
"49_2096","Electronic Equipment Installers And Repairers, Motor Vehicles","49"
"49_2097","Electronic Home Entertainment Equipment Installers And Repairers","49"
"17_2072","Electronics Engineers, Except Computer","17"
"25_2021","Elementary School Teachers, Except Special Education","25"
"47_4021","Elevator Installers And Repairers","47"
"43_4061","Eligibility Interviewers, Government Programs","43"
"39_4011","Embalmers","39"
"11_9161","Emergency Management Directors","11"
"13_1061","Emergency Management Specialists","13"
"29_2041","Emergency Medical Technicians And Paramedics","29"
"13_1071","Employment, Recruitment, And Placement Specialists","13"
"51_2031","Engine And Other Machine Assemblers","51"
"11_9041","Engineering Managers","11"
"25_1032","Engineering Teachers, Postsecondary","25"
"17_3029","Engineering Technicians, Except Drafters, All Other","17"
"17_2199","Engineers, All Other","17"
"25_1123","English Language And Literature Teachers, Postsecondary","25"
"27_2099","Entertainers And Performers, Sports And Related Workers, All Other","27"
"39_3099","Entertainment Attendants And Related Workers, All Other","39"
"17_3025","Environmental Engineering Technicians","17"
"17_2081","Environmental Engineers","17"
"19_4091","Environmental Science And Protection Technicians, Including Health","19"
"25_1053","Environmental Science Teachers, Postsecondary","25"
"19_2041","Environmental Scientists And Specialists, Including Health","19"
"19_1041","Epidemiologists","19"
"51_9194","Etchers And Engravers","51"
"53_7032","Excavating And Loading Machine And Dragline Operators","53"
"43_6011","Executive Secretaries And Administrative Assistants","43"
"47_5031","Explosives Workers, Ordnance Handling Experts, And Blasters","47"
"47_5099","Extraction Workers, All Other","47"
"51_4021","Extruding And Drawing Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"51_6091","Extruding And Forming Machine Setters, Operators, And Tenders, Synthetic And Glass Fibers","51"
"51_9041","Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","51"
"51_6092","Fabric And Apparel Patternmakers","51"
"49_9093","Fabric Menders, Except Garment","49"
"45_4021","Fallers","45"
"29_1062","Family And General Practitioners","29"
"25_9021","Farm And Home Management Advisors","25"
"49_3041","Farm Equipment Mechanics","49"
"45_1012","Farm Labor Contractors","45"
"13_1074","Farm Labor Contractors","13"
"11_9011","Farm, Ranch, And Other Agricultural Managers","11"
"11_9012","Farmers And Ranchers","11"
"11_9013","Farmers, Ranchers, And Other Agricultural Managers","11"
"45_2092","Farmworkers And Laborers, Crop, Nursery, And Greenhouse","45"
"45_2093","Farmworkers, Farm And Ranch Animals","45"
"27_1022","Fashion Designers","27"
"47_4031","Fence Erectors","47"
"51_2091","Fiberglass Laminators And Fabricators","51"
"43_4071","File Clerks","43"
"27_4032","Film And Video Editors","27"
"13_2051","Financial Analysts","13"
"43_3099","Financial Clerks, All Other","43"
"13_2061","Financial Examiners","13"
"11_3031","Financial Managers","11"
"13_2099","Financial Specialists, All Other","13"
"27_1013","Fine Artists, Including Painters, Sculptors, And Illustrators","27"
"33_2011","Fire Fighters","33"
"33_2021","Fire Inspectors And Investigators","33"
"47_1011","First-line Supervisors/managers Of Construction Trades And Extraction Workers","47"
"33_1011","First-line Supervisors/managers Of Correctional Officers","33"
"45_1011","First-line Supervisors/managers Of Farming, Fishing, And Forestry Workers","45"
"33_1021","First-line Supervisors/managers Of Fire Fighting And Prevention Workers","33"
"35_1012","First-line Supervisors/managers Of Food Preparation And Serving Workers","35"
"53_1021","First-line Supervisors/managers Of Helpers, Laborers, And Material Movers, Hand","53"
"37_1011","First-line Supervisors/managers Of Housekeeping And Janitorial Workers","37"
"37_1012","First-line Supervisors/managers Of Landscaping, Lawn Service, And Groundskeeping Workers","37"
"49_1011","First-line Supervisors/managers Of Mechanics, Installers, And Repairers","49"
"41_1012","First-line Supervisors/managers Of Non-retail Sales Workers","41"
"43_1011","First-line Supervisors/managers Of Office And Administrative Support Workers","43"
"39_1021","First-line Supervisors/managers Of Personal Service Workers","39"
"33_1012","First-line Supervisors/managers Of Police And Detectives","33"
"51_1011","First-line Supervisors/managers Of Production And Operating Workers","51"
"41_1011","First-line Supervisors/managers Of Retail Sales Workers","41"
"53_1031","First-line Supervisors/managers Of Transportation And Material-moving Machine And Vehicle Operators","53"
"33_1099","First-line Supervisors/managers, Protective Service Workers, All Other","33"
"33_3031","Fish And Game Wardens","33"
"45_3011","Fishers And Related Fishing Workers","45"
"39_9031","Fitness Trainers And Aerobics Instructors","39"
"39_6031","Flight Attendants","39"
"53_2031","Flight Attendants","53"
"47_2042","Floor Layers, Except Carpet, Wood, And Hard Tiles","47"
"47_2043","Floor Sanders And Finishers","47"
"27_1023","Floral Designers","27"
"51_3091","Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","51"
"51_3092","Food Batchmakers","51"
"51_3093","Food Cooking Machine Operators And Tenders","51"
"35_9099","Food Preparation And Serving Related Workers, All Other","35"
"35_2021","Food Preparation Workers","35"
"51_3099","Food Processing Workers, All Other","51"
"19_1012","Food Scientists And Technologists","19"
"35_3041","Food Servers, Nonrestaurant","35"
"11_9051","Food Service Managers","11"
"25_1124","Foreign Language And Literature Teachers, Postsecondary","25"
"19_4092","Forensic Science Technicians","19"
"19_4093","Forest And Conservation Technicians","19"
"45_4011","Forest And Conservation Workers","45"
"33_2022","Forest Fire Inspectors And Prevention Specialists","33"
"19_1032","Foresters","19"
"25_1043","Forestry And Conservation Science Teachers, Postsecondary","25"
"51_4022","Forging Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"51_4071","Foundry Mold And Coremakers","51"
"13_1131","Fundraisers","13"
"39_4021","Funeral Attendants","39"
"11_9061","Funeral Directors","11"
"39_4831","Funeral Service Managers, Directors, Morticians, And Undertakers","39"
"51_9051","Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","51"
"51_7021","Furniture Finishers","51"
"39_3012","Gaming And Sports Book Writers And Runners","39"
"43_3041","Gaming Cage Workers","43"
"41_2012","Gaming Change Persons And Booth Cashiers","41"
"39_3011","Gaming Dealers","39"
"11_9071","Gaming Managers","11"
"39_3019","Gaming Service Workers, All Other","39"
"39_1011","Gaming Supervisors","39"
"33_9031","Gaming Surveillance Officers And Gaming Investigators","33"
"53_7071","Gas Compressor And Gas Pumping Station Operators","53"
"51_8092","Gas Plant Operators","51"
"11_1021","General And Operations Managers","11"
"29_9092","Genetic Counselors","29"
"19_3092","Geographers","19"
"25_1064","Geography Teachers, Postsecondary","25"
"19_4041","Geological And Petroleum Technicians","19"
"19_2042","Geoscientists, Except Hydrologists And Geographers","19"
"47_2121","Glaziers","47"
"45_2041","Graders And Sorters, Agricultural Products","45"
"25_1191","Graduate Teaching Assistants","25"
"27_1024","Graphic Designers","27"
"51_9022","Grinding And Polishing Workers, Hand","51"
"51_4033","Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic","51"
"37_3019","Grounds Maintenance Workers, All Other","37"
"39_5012","Hairdressers, Hairstylists, And Cosmetologists","39"
"47_4041","Hazardous Materials Removal Workers","47"
"17_2111","Health And Safety Engineers, Except Mining Safety Engineers And Inspectors","17"
"29_1199","Health Diagnosing And Treating Practitioners, All Other","29"
"21_1091","Health Educators","21"
"25_1071","Health Specialties Teachers, Postsecondary","25"
"29_2099","Health Technologists And Technicians, All Other","29"
"29_2799","Health Technologists And Technicians, All Other","29"
"29_9099","Healthcare Practitioners And Technical Workers, All Other","29"
"29_9799","Healthcare Practitioners And Technical Workers, All Other","29"
"31_9099","Healthcare Support Workers, All Other","31"
"31_9799","Healthcare Support Workers, All Other","31"
"29_2092","Hearing Aid Specialists","29"
"51_4191","Heat Treating Equipment Setters, Operators, And Tenders, Metal And Plastic","51"
"49_9021","Heating, Air Conditioning, And Refrigeration Mechanics And Installers","49"
"47_3011","Helpers--brickmasons, Blockmasons, Stonemasons, And Tile And Marble Setters","47"
"47_3012","Helpers--carpenters","47"
"47_3013","Helpers--electricians","47"
"47_5081","Helpers--extraction Workers","47"
