"OCC_CODE","TITLE","OCC_CODE_SHORT"
"43_9071","Office Machine Operators, Except Computer","43"
"47_2073","Operating Engineers And Other Construction Equipment Operators","47"
"15_2031","Operations Research Analysts","15"
"51_9083","Ophthalmic Laboratory Technicians","51"
"29_2057","Ophthalmic Medical Technicians","29"
"29_2081","Opticians, Dispensing","29"
"29_1041","Optometrists","29"
"29_1022","Oral And Maxillofacial Surgeons","29"
"43_4151","Order Clerks","43"
"31_1015","Orderlies","31"
"29_1023","Orthodontists","29"
"29_2091","Orthotists And Prosthetists","29"
"49_3053","Outdoor Power Equipment And Other Small Engine Mechanics","49"
"51_9111","Packaging And Filling Machine Operators And Tenders","51"
"53_7064","Packers And Packagers, Hand","53"
"47_2141","Painters, Construction And Maintenance","47"
"51_9122","Painters, Transportation Equipment","51"
"51_9123","Painting, Coating, And Decorating Workers","51"
"51_9196","Paper Goods Machine Setters, Operators, And Tenders","51"
"47_2142","Paperhangers","47"
"23_2011","Paralegals And Legal Assistants","23"
"33_3041","Parking Enforcement Workers","33"
"53_6021","Parking Lot Attendants","53"
"41_2022","Parts Salespersons","41"
"51_4062","Patternmakers, Metal And Plastic","51"
"51_7032","Patternmakers, Wood","51"
"47_2071","Paving, Surfacing, And Tamping Equipment Operators","47"
"43_3051","Payroll And Timekeeping Clerks","43"
"29_1065","Pediatricians, General","29"
"39_9021","Personal And Home Care Aides","39"
"39_9099","Personal Care And Service Workers, All Other","39"
"13_2052","Personal Financial Advisors","13"
"37_2021","Pest Control Workers","37"
"37_3012","Pesticide Handlers, Sprayers, And Applicators, Vegetation","37"
"17_2171","Petroleum Engineers","17"
"51_8093","Petroleum Pump System Operators, Refinery Operators, And Gaugers","51"
"29_1051","Pharmacists","29"
"31_9095","Pharmacy Aides","31"
"29_2052","Pharmacy Technicians","29"
"25_1126","Philosophy And Religion Teachers, Postsecondary","25"
"31_9097","Phlebotomists","31"
"27_4021","Photographers","27"
"51_9131","Photographic Process Workers","51"
"51_9151","Photographic Process Workers And Processing Machine Operators","51"
"51_9132","Photographic Processing Machine Operators","51"
"19_2099","Physical Scientists, All Other","19"
"31_2022","Physical Therapist Aides","31"
"31_2021","Physical Therapist Assistants","31"
"29_1123","Physical Therapists","29"
"29_1071","Physician Assistants","29"
"29_1069","Physicians And Surgeons, All Other","29"
"19_2012","Physicists","19"
"25_1054","Physics Teachers, Postsecondary","25"
"47_2072","Pile-driver Operators","47"
"47_2151","Pipelayers","47"
"51_8099","Plant And System Operators, All Other","51"
"47_2161","Plasterers And Stucco Masons","47"
"51_4193","Plating And Coating Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"47_2152","Plumbers, Pipefitters, And Steamfitters","47"
"29_1081","Podiatrists","29"
"33_3051","Police And Sheriff's Patrol Officers","33"
"43_5031","Police, Fire, And Ambulance Dispatchers","43"
"25_1065","Political Science Teachers, Postsecondary","25"
"19_3094","Political Scientists","19"
"43_5051","Postal Service Clerks","43"
"43_5052","Postal Service Mail Carriers","43"
"43_5053","Postal Service Mail Sorters, Processors, And Processing Machine Operators","43"
"11_9131","Postmasters And Mail Superintendents","11"
"25_1199","Postsecondary Teachers, All Other","25"
"51_4052","Pourers And Casters, Metal","51"
"51_8012","Power Distributors And Dispatchers","51"
"51_8013","Power Plant Operators","51"
"49_9069","Precision Instrument And Equipment Repairers, All Other","49"
"51_5111","Prepress Technicians And Workers","51"
"25_2011","Preschool Teachers, Except Special Education","25"
"51_6021","Pressers, Textile, Garment, And Related Materials","51"
"51_5113","Print Binding And Finishing Workers","51"
"51_5023","Printing Machine Operators","51"
"51_5112","Printing Press Operators","51"
"33_9021","Private Detectives And Investigators","33"
"21_1092","Probation Officers And Correctional Treatment Specialists","21"
"43_3061","Procurement Clerks","43"
"27_2012","Producers And Directors","27"
"51_9399","Production Workers, All Other","51"
"43_5061","Production, Planning, And Expediting Clerks","43"
"43_9081","Proofreaders And Copy Markers","43"
"11_9141","Property, Real Estate, And Community Association Managers","11"
"29_1024","Prosthodontists","29"
"33_9099","Protective Service Workers, All Other","33"
"31_1013","Psychiatric Aides","31"
"29_2053","Psychiatric Technicians","29"
"29_1066","Psychiatrists","29"
"19_3039","Psychologists, All Other","19"
"25_1066","Psychology Teachers, Postsecondary","25"
"27_3012","Public Address System And Other Announcers","27"
"11_2031","Public Relations Managers","11"
"27_3031","Public Relations Specialists","27"
"53_7072","Pump Operators, Except Wellhead Pumpers","53"
"13_1021","Purchasing Agents And Buyers, Farm Products","13"
"13_1023","Purchasing Agents, Except Wholesale, Retail, And Farm Products","13"
"11_3061","Purchasing Managers","11"
"29_1124","Radiation Therapists","29"
"27_3011","Radio And Television Announcers","27"
"49_2021","Radio Mechanics","49"
"27_4013","Radio Operators","27"
"29_2037","Radiologic Technologists And Technicians","29"
"47_4061","Rail-track Laying And Maintenance Equipment Operators","47"
"49_3043","Rail Car Repairers","49"
"53_4099","Rail Transportation Workers, All Other","53"
"53_4013","Rail Yard Engineers, Dinkey Operators, And Hostlers","53"
"53_4021","Railroad Brake, Signal, And Switch Operators","53"
"53_4031","Railroad Conductors And Yardmasters","53"
"41_9021","Real Estate Brokers","41"
"41_9022","Real Estate Sales Agents","41"
"43_4171","Receptionists And Information Clerks","43"
"25_1193","Recreation And Fitness Studies Teachers, Postsecondary","25"
"39_9032","Recreation Workers","39"
"29_1125","Recreational Therapists","29"
"49_3092","Recreational Vehicle Service Technicians","49"
"49_9045","Refractory Materials Repairers, Except Brickmasons","49"
"53_7081","Refuse And Recyclable Material Collectors","53"
"29_1141","Registered Nurses","29"
"21_1015","Rehabilitation Counselors","21"
"47_2171","Reinforcing Iron And Rebar Workers","47"
"21_2099","Religious Workers, All Other","21"
"27_3022","Reporters And Correspondents","27"
"43_4181","Reservation And Transportation Ticket Agents And Travel Clerks","43"
"39_9041","Residential Advisors","39"
"29_1126","Respiratory Therapists","29"
"29_2054","Respiratory Therapy Technicians","29"
"41_2031","Retail Salespersons","41"
"49_9096","Riggers","49"
"47_5051","Rock Splitters, Quarry","47"
"51_4023","Rolling Machine Setters, Operators, And Tenders, Metal And Plastic","51"
"47_5061","Roof Bolters, Mining","47"
"47_2181","Roofers","47"
"47_5012","Rotary Drill Operators, Oil And Gas","47"
"47_5071","Roustabouts, Oil And Gas","47"
"53_5011","Sailors And Marine Oilers","53"
"41_9799","Sales And Related Workers, All Other","41"
"41_9031","Sales Engineers","41"
"11_2022","Sales Managers","11"
"41_3099","Sales Representatives, Services, All Other","41"
"41_4012","Sales Representatives, Wholesale And Manufacturing, Except Technical And Scientific Products","41"
"41_4011","Sales Representatives, Wholesale And Manufacturing, Technical And Scientific Products","41"
"51_7041","Sawing Machine Setters, Operators, And Tenders, Wood","51"
"25_2031","Secondary School Teachers, Except Special And Vocational Education","25"
"43_6014","Secretaries, Except Legal, Medical, And Executive","43"
"41_3031","Securities, Commodities, And Financial Services Sales Agents","41"
"49_2098","Security And Fire Alarm Systems Installers","49"
"33_9032","Security Guards","33"
"47_4091","Segmental Pavers","47"
"25_3021","Self-enrichment Education Teachers","25"
"51_9141","Semiconductor Processors","51"
"51_9012","Separating, Filtering, Clarifying, Precipitating, And Still Machine Setters, Operators, And Tenders","51"
"47_4071","Septic Tank Servicers And Sewer Pipe Cleaners","47"
"53_6031","Service Station Attendants","53"
"47_5013","Service Unit Operators, Oil, Gas, And Mining","47"
"27_1027","Set And Exhibit Designers","27"
"51_6051","Sewers, Hand","51"
"51_6031","Sewing Machine Operators","51"
"39_5093","Shampooers","39"
"47_2211","Sheet Metal Workers","47"
"53_5031","Ship Engineers","53"
"43_5071","Shipping, Receiving, And Traffic Clerks","43"
"51_6041","Shoe And Leather Workers And Repairers","51"
"51_6042","Shoe Machine Operators And Tenders","51"
"53_7111","Shuttle Car Operators","53"
"49_9097","Signal And Track Switch Repairers","49"
"39_5094","Skin Care Specialists","39"
"51_3023","Slaughterers And Meat Packers","51"
"39_1012","Slot Key Persons","39"
"11_9151","Social And Community Service Managers","11"
"21_1093","Social And Human Service Assistants","21"
"19_4061","Social Science Research Assistants","19"
"25_1069","Social Sciences Teachers, Postsecondary, All Other","25"
"19_3099","Social Scientists And Related Workers, All Other","19"
"25_1113","Social Work Teachers, Postsecondary","25"
"21_1029","Social Workers, All Other","21"
"19_3041","Sociologists","19"
"25_1067","Sociology Teachers, Postsecondary","25"
"15_1132","Software Developers, Applications","15"
"15_1133","Software Developers, Systems Software","15"
"19_1013","Soil And Plant Scientists","19"
"47_2231","Solar Photovoltaic Installers","47"
"27_4014","Sound Engineering Technicians","27"
"25_2059","Special Education Teachers, All Other","25"
"25_2052","Special Education Teachers, Kindergarten And Elementary School","25"
"25_2042","Special Education Teachers, Middle School","25"
"25_2053","Special Education Teachers, Middle School","25"
"25_2051","Special Education Teachers, Preschool","25"
"25_2041","Special Education Teachers, Preschool, Kindergarten, And Elementary School","25"
"25_2043","Special Education Teachers, Secondary School","25"
"25_2054","Special Education Teachers, Secondary School","25"
"29_1127","Speech-language Pathologists","29"
"51_8021","Stationary Engineers And Boiler Operators","51"
"43_9111","Statistical Assistants","43"
"15_2041","Statisticians","15"
"43_5081","Stock Clerks And Order Fillers","43"
"47_2022","Stonemasons","47"
"47_2221","Structural Iron And Steel Workers","47"
"51_2041","Structural Metal Fabricators And Fitters","51"
"21_1011","Substance Abuse And Behavioral Disorder Counselors","21"
"25_3098","Substitute Teachers","25"
"53_4041","Subway And Streetcar Operators","53"
"29_1067","Surgeons","29"
"29_2055","Surgical Technologists","29"
"19_3022","Survey Researchers","19"
"17_3031","Surveying And Mapping Technicians","17"
"17_1022","Surveyors","17"
"43_2011","Switchboard Operators, Including Answering Service","43"
"51_6052","Tailors, Dressmakers, And Custom Sewers","51"
"53_7121","Tank Car, Truck, And Ship Loaders","53"
"47_2082","Tapers","47"
"13_2081","Tax Examiners, Collectors, And Revenue Agents","13"
"13_2082","Tax Preparers","13"
"53_3041","Taxi Drivers And Chauffeurs","53"
"25_9041","Teacher Assistants","25"
"25_3999","Teachers And Instructors, All Other","25"
"25_3097","Teachers And Instructors, All Other, Except Substitute Teachers","25"
"51_2092","Team Assemblers","51"
"27_3042","Technical Writers","27"
"49_2022","Telecommunications Equipment Installers And Repairers, Except Line Installers","49"
"49_9052","Telecommunications Line Installers And Repairers","49"
"41_9041","Telemarketers","41"
"43_2021","Telephone Operators","43"
"43_3071","Tellers","43"
"47_2053","Terrazzo Workers And Finishers","47"
"51_6061","Textile Bleaching And Dyeing Machine Operators And Tenders","51"
"51_6062","Textile Cutting Machine Setters, Operators, And Tenders","51"
"51_6063","Textile Knitting And Weaving Machine Setters, Operators, And Tenders","51"
"51_6064","Textile Winding, Twisting, And Drawing Out Machine Setters, Operators, And Tenders","51"
"51_6099","Textile, Apparel, And Furnishings Workers, All Other","51"
"29_1129","Therapists, All Other","29"
"29_1128","Therapists, All Other","29"
"47_2044","Tile And Marble Setters","47"
"51_2093","Timing Device Assemblers, Adjusters, And Calibrators","51"
"51_9197","Tire Builders","51"
"49_3093","Tire Repairers And Changers","49"
"23_2093","Title Examiners, Abstractors, And Searchers","23"
"51_4111","Tool And Die Makers","51"
"51_4194","Tool Grinders, Filers, And Sharpeners","51"
"39_6021","Tour Guides And Escorts","39"
"39_7011","Tour Guides And Escorts","39"
"53_6041","Traffic Technicians","53"
"11_3131","Training And Development Managers","11"
"13_1151","Training And Development Specialists","13"
"33_3052","Transit And Railroad Police","33"
"53_6061","Transportation Attendants, Except Flight Attendants","53"
"39_6032","Transportation Attendants, Except Flight Attendants And Baggage Porters","39"
"53_6051","Transportation Inspectors","53"
"33_9093","Transportation Security Screeners (federal Only)","33"
"53_6099","Transportation Workers, All Other","53"
"11_3071","Transportation, Storage, And Distribution Managers","11"
"41_3041","Travel Agents","41"
"39_7012","Travel Guides","39"
"37_3013","Tree Trimmers And Pruners","37"
"53_3032","Truck Drivers, Heavy And Tractor-trailer","53"
"53_3033","Truck Drivers, Light Or Delivery Services","53"
"27_2023","Umpires, Referees, And Other Sports Officials","27"
"51_6093","Upholsterers","51"
"19_3051","Urban And Regional Planners","19"
"39_3031","Ushers, Lobby Attendants, And Ticket Takers","39"
"29_1131","Veterinarians","29"
"31_9096","Veterinary Assistants And Laboratory Animal Caretakers","31"
"29_2056","Veterinary Technologists And Technicians","29"
"25_2023","Vocational Education Teachers, Middle School","25"
"25_1194","Vocational Education Teachers, Postsecondary","25"
"25_2032","Vocational Education Teachers, Secondary School","25"
"35_3031","Waiters And Waitresses","35"
"49_9064","Watch Repairers","49"
"51_8031","Water And Liquid Waste Treatment Plant And System Operators","51"
"15_1134","Web Developers","15"
"43_5111","Weighers, Measurers, Checkers, And Samplers, Recordkeeping","43"
"51_4121","Welders, Cutters, Solderers, And Brazers","51"
"51_4122","Welding, Soldering, And Brazing Machine Setters, Operators, And Tenders","51"
"53_7073","Wellhead Pumpers","53"
"13_1022","Wholesale And Retail Buyers, Except Farm Products","13"
"49_9081","Wind Turbine Service Technicians","49"
"51_7099","Woodworkers, All Other","51"
"51_7042","Woodworking Machine Setters, Operators, And Tenders, Except Sawing","51"
"43_9022","Word Processors And Typists","43"
"27_3043","Writers And Authors","27"
"19_1023","Zoologists And Wildlife Biologists","19"
